APT., ROSE & Bruno Mars
Die With A Smile, Lady Gaga & Bruno Mars
Birds Of A Feather, Billie Eilish
Ordinary, Alex Warren
Beautiful Things, Benson Boone
Lose Control, Teddy Swims
That's So True, Gracie Abrams
Luther, Kendrick Lamar & SZA
Espresso, Sabrina Carpenter
Golden, HUNTR/X: EJAE Audrey Nuna & REI AMI
Not Like Us, Kendrick Lamar
Timeless, The Weeknd & Playboi Carti
Wildflower, Billie Eilish
DTMF, Bad Bunny
A Bar Song (Tipsy), Shaboozey
Sailor Song, Gigi Perez
Messy, Lola Young
Good Luck Babe!, Chappel Roan
Si Antes Te Hubiera Conocido, Karol G
Taste, Sabrina Carpenter
