Title,Artist,Key,BPM
APT.,ROSE & Bruno Mars,5A,149
Die With A Smile,Lady Gaga & Bruno Mars,11A,158
Birds Of A Feather,Billie Eilish,10B,105
Ordinary,Alex Warren,10B,112
Beautiful Things,Benson Boone,6B,105
Lose Control,Teddy Swims,11B,160
That's So True,Gracie Abrams,3B,109
Luther,Kendrick Lamar & SZA,10B,138
Espresso,Sabrina Carpenter,8B,104
Golden,HUNTR/X: EJAE Audrey Nuna & REI AMI,9A,123
Not Like Us,Kendrick Lamar,3B,101
Timeless,The Weeknd & Playboi Carti,10A,120
Wildflower,Billie Eilish,11A,148
DTMF,Bad Bunny,6A,136
A Bar Song (Tipsy),Shaboozey,11B,81
Sailor Song,Gigi Perez,1B,95
Messy,Lola Young,11B,111
Good Luck Babe!,Chappel Roan,10A,117
Si Antes Te Hubiera Conocido,Karol G,1B,128
Taste,Sabrina Carpenter,5B,113
