Title,Artist,Popularity,Duration_MS,Explicit,Release_Date,Album_Name
APT.,ROSE & Bruno Mars,88,169917,False,2024-10-18,APT.
Die With A Smile,Lady Gaga & Bruno Mars,92,251667,False,2024-08-16,Die With A Smile
Birds Of A Feather,Billie Eilish,95,210373,False,2024-05-17,HIT ME HARD AND SOFT
Ordinary,Alex Warren,92,186964,False,2024-09-26,"You'll Be Alright, Kid (Chapter 1)"
Beautiful Things,Benson Boone,89,180304,False,2024-04-05,Fireworks & Rollerblades
Lose Control,Teddy Swims,89,210688,False,2023-09-15,I've Tried Everything But Therapy (Part 1)
That's So True,Gracie Abrams,91,166300,True,2024-10-18,The Secret of Us (Deluxe)
Luther,Kendrick Lamar & SZA,86,177598,False,2024-11-21,GNX
Espresso,Sabrina Carpenter,88,175459,True,2024-08-23,Short n' Sweet
Golden,HUNTR/X: EJAE Audrey Nuna & REI AMI,96,194607,False,2025-06-20,KPop Demon Hunters (Soundtrack from the Netflix Film)
Not Like Us,Kendrick Lamar,88,274192,True,2024-05-04,Not Like Us
Timeless,The Weeknd & Playboi Carti,91,256000,True,2025-01-31,Hurry Up Tomorrow
Wildflower,Billie Eilish,93,261466,False,2024-05-17,HIT ME HARD AND SOFT
DTMF,Bad Bunny,100,237117,True,2025-01-05,DeBÍ TiRAR MáS FOToS
A Bar Song (Tipsy),Shaboozey,82,171291,True,2024-05-31,"Where I've Been, Isn't Where I'm Going"
Sailor Song,Gigi Perez,89,211978,False,2025-04-25,"At The Beach, In Every Life"
Messy,Lola Young,84,284066,True,2024-06-21,This Wasn't Meant For You Anyway
Good Luck Babe!,Chappel Roan,91,218423,False,2024-04-05,"Good Luck, Babe!"
Si Antes Te Hubiera Conocido,Karol G,86,195824,False,2025-06-20,Tropicoqueta
Taste,Sabrina Carpenter,88,157279,False,2024-08-23,Short n' Sweet
